City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,45,7,10,0.27,5,122,89,7
阿克苏地区,59,21,33,0.65,4,137,109,5
阿拉善盟,76,26,95,0.3,5,140,130,5
阿勒泰地区,59,17,65,0.2,7,85,87,4
阿里地区,66,11,40,0.5,7,124,118,7
安康,104,73,155,0.6,24,32,22,10
安庆,74,53,86,0.82,17,129,126,5
鞍山,89,25,60,0.56,15,146,145,8
安顺,47,21,35,0.57,5,108,92,5
安阳,162,57,272,0.7,17,165,112,10
白城,40,15,30,0.2,5,93,79,5
百色,40,23,39,0.65,7,81,66,8
白山,71,14,48,0.4,10,132,124,10
白银,54,19,41,0.45,6,124,103,2
保定,90,48,128,0.5,23,187,141,18
宝鸡,114,79,175,0.66,20,73,56,5
保山,74,22,37,0.4,8,0,127,5
包头,81,42,109,0.44,8,126,108,6
巴彦淖尔,147,41,242,0.7,7,125,122,4
巴中,28,6,13,0.48,7,71,55,3
北海,54,14,56,0.6,6,77,65,8
北京,99,74,138,0.69,29,186,122,10
蚌埠,77,56,89,0.87,19,142,120,10
本溪,66,18,57,0.8,17,127,118,14
毕节,40,13,26,0.3,7,46,78,3
滨州,137,82,195,0.97,35,217,199,18
博州,53,9,54,0.25,4,107,101,5
亳州,103,46,154,0.95,9,143,134,5
沧州,125,55,198,0.65,24,167,152,22
长春,74,22,96,0.51,21,131,125,5
常德,85,52,118,0.72,14,74,69,6
昌都,56,8,28,0.6,13,107,105,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,39,16,38,0.55,12,98,75,7
长沙,102,58,152,0.88,41,59,53,7
常熟,63,7,20,0.6,26,103,114,13
长治,66,23,57,0.67,8,145,118,7
常州,51,30,50,0.78,36,110,95,11
朝阳,92,35,62,0.75,14,174,149,15
潮州,53,25,45,0.9,9,106,102,10
承德,86,22,80,0.64,17,166,141,13
成都,67,45,82,0.59,19,130,106,5
郴州,55,30,57,1.2,15,137,83,19
赤峰,61,7,34,0.28,14,120,112,9
池州,92,60,95,0.83,34,154,149,13
重庆,40,24,39,0.77,34,33,35,6
崇左,39,25,38,0.5,7,68,57,2
楚雄州,71,24,42,0.5,7,126,124,10
滁州,78,57,104,0.6,25,146,126,11
大连,61,25,70,0.42,20,120,108,7
大理州,66,20,50,0.65,9,122,117,5
丹东,60,19,57,0.48,12,117,110,12
大庆,51,15,50,0.32,11,81,78,5
大同,75,31,98,0.52,21,125,102,12
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,41,19,0,0.45,10,92,81,8
达州,36,21,35,0.54,16,94,54,8
德宏州,61,27,56,0.8,7,127,111,9
德阳,81,52,109,0.43,6,101,84,4
德州,171,76,289,0.57,16,169,158,10
定西,63,6,18,0.2,5,132,114,3
迪庆州,62,14,42,0.4,7,110,113,6
东莞,48,21,40,0.48,14,135,95,8
东营,131,50,183,0.57,21,187,193,12
鄂尔多斯,63,28,74,0.44,13,125,114,6
恩施州,59,28,66,2.0,28,41,44,3
鄂州,92,68,131,1.05,52,56,63,6
防城港,39,15,38,0.6,17,57,62,6
佛山,56,27,60,0.66,25,127,105,5
抚顺,89,26,81,0.6,16,151,145,16
阜新,97,41,142,0.56,17,162,136,14
阜阳,103,57,154,0.83,25,125,137,4
富阳,0,0,0,0.0,0,0,0,0
福州,58,40,45,0.65,13,103,86,4
抚州,52,33,51,1.02,6,99,96,5
甘南州,53,6,27,0.6,5,113,102,3
赣州,70,50,86,1.36,15,147,116,11
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,36,5,21,0.15,15,89,71,13
广安,28,9,23,0.64,9,77,54,6
广元,30,12,29,0.4,15,91,57,7
广州,62,23,43,0.66,27,167,113,5
贵港,38,17,37,0.63,12,67,64,12
桂林,60,42,66,0.95,15,128,86,15
贵阳,58,31,64,0.57,12,99,83,5
果洛州,35,18,34,0.5,6,78,65,9
固原,95,39,137,0.57,12,105,79,11
哈尔滨,52,14,52,0.44,13,91,90,8
海北州,77,24,42,0.5,5,140,131,14
海东地区,46,32,36,0.4,18,89,78,6
海口,35,11,34,0.44,13,42,46,5
海门,40,14,29,0.55,16,70,78,10
海南州,71,24,52,0.5,5,132,124,10
海西州,76,21,87,0.6,12,0,130,7
哈密地区,45,8,44,0.65,18,78,83,2
邯郸,130,57,208,0.5,14,155,121,15
杭州,71,16,28,0.49,19,130,123,4
汉中,100,74,147,0.63,6,80,62,5
鹤壁,128,55,203,0.37,25,161,108,9
河池,42,19,41,0.57,8,80,62,5
合肥,89,54,79,0.7,31,143,145,5
鹤岗,53,23,44,0.5,7,93,102,7
黑河,41,9,16,0.4,11,74,81,6
衡水,116,48,180,0.63,23,168,138,18
衡阳,82,41,111,0.92,15,124,87,8
和田地区,74,31,96,0.4,5,122,104,4
河源,45,28,44,0.6,10,75,75,6
菏泽,138,82,223,0.73,17,170,144,9
贺州,41,22,31,0.5,13,72,80,5
红河州,71,32,52,0.57,7,127,124,7
淮安,85,62,98,0.92,17,140,112,5
淮北,91,63,125,0.6,11,146,148,6
怀化,112,49,172,0.7,7,61,57,5
淮南,88,59,116,0.82,22,140,144,10
黄冈,96,67,140,1.3,31,76,82,7
黄南州,47,8,33,0.6,8,97,93,9
黄山,49,14,36,0.5,11,88,97,6
黄石,86,57,119,1.08,45,66,72,5
呼和浩特,85,36,117,0.54,18,130,113,10
惠州,58,28,63,0.52,17,121,87,5
葫芦岛,84,47,116,0.65,21,154,118,13
呼伦贝尔,90,28,127,0.55,9,94,79,2
湖州,67,48,73,0.77,48,86,103,12
佳木斯,56,14,50,0.28,6,106,105,4
吉安,49,23,48,0.8,17,102,84,12
江门,39,15,38,0.64,19,54,60,7
江阴,69,13,31,0.4,31,120,121,6
胶南,53,14,27,0.3,7,91,102,1
胶州,82,42,112,0.2,45,85,114,6
焦作,122,58,192,0.6,26,153,128,14
嘉兴,49,12,18,0.5,16,97,96,4
嘉峪关,151,48,250,0.3,10,111,105,8
揭阳,58,21,64,0.83,8,89,76,6
吉林,89,31,73,0.6,13,162,145,10
即墨,98,44,143,0.45,7,158,149,7
济南,150,74,248,0.62,22,163,153,11
金昌,66,16,77,0.37,4,132,118,4
晋城,110,59,168,0.6,12,167,120,13
景德镇,37,12,28,0.58,6,62,72,7
荆门,85,62,115,0.64,32,53,52,7
荆州,81,36,109,0.53,28,70,61,5
金华,84,16,34,0.47,13,177,139,5
济宁,99,59,145,0.85,14,185,152,15
金坛,100,39,53,0.7,27,158,158,12
晋中,123,51,194,0.8,40,110,97,13
锦州,94,44,136,0.84,24,171,124,20
九江,114,85,71,0.71,35,69,84,8
酒泉,390,50,491,0.55,8,109,114,7
鸡西,54,26,55,0.57,8,79,78,5
句容,111,37,68,1.05,24,188,170,10
开封,128,67,203,0.44,13,144,125,8
喀什地区,71,11,16,0.3,8,134,123,4
克拉玛依,66,6,42,0.58,5,124,117,4
克州,95,2,0,0.5,1,160,152,6
库尔勒,51,27,50,0.4,8,98,84,4
昆明,66,24,45,0.64,16,112,118,7
昆山,46,9,35,0.35,32,80,91,5
来宾,49,34,46,0.5,12,0,77,17
莱芜,88,65,99,0.67,18,89,77,10
莱西,90,34,127,0.5,8,130,131,6
莱州,131,44,109,0.6,16,210,192,9
廊坊,106,56,141,0.97,25,209,160,18
兰州,55,13,37,0.4,15,116,104,4
拉萨,80,17,34,0.33,13,139,134,4
乐山,59,34,65,0.46,10,114,92,5
凉山州,86,21,58,0.55,8,148,141,8
连云港,66,27,48,0.86,24,105,117,13
聊城,150,82,249,0.63,15,178,152,15
辽阳,86,18,59,0.55,12,134,141,5
辽源,96,20,65,0.5,6,174,153,10
丽江,71,9,56,0.55,6,121,123,9
临安,87,46,69,0.5,30,160,143,9
临沧,75,44,72,0.8,9,135,128,9
临汾,97,53,141,1.05,14,143,112,18
临夏州,54,9,18,0.55,7,113,103,7
临沂,96,58,131,0.6,20,173,154,10
林芝,46,11,2,0.4,8,106,90,7
林芝地区,18,4,16,0.35,6,51,35,3
丽水,40,14,32,0.7,13,95,79,5
六盘水,62,19,71,0.38,12,116,106,8
柳州,46,30,45,0.6,8,91,69,4
溧阳,91,48,64,1.0,24,169,147,4
陇南,53,9,20,0.35,4,99,102,6
龙岩,53,27,53,0.57,8,94,89,4
娄底,77,47,102,0.46,8,87,73,12
六安,74,53,83,0.75,27,76,78,5
漯河,129,57,205,0.83,14,131,124,10
洛阳,128,67,203,0.56,29,142,118,13
泸州,35,22,34,0.48,17,70,51,4
吕梁,83,47,114,0.43,8,131,97,9
马鞍山,91,15,45,0.58,19,158,148,10
茂名,23,6,14,0.45,6,39,44,2
眉山,64,32,70,0.48,13,124,115,7
梅州,48,18,47,0.63,7,89,79,6
绵阳,75,44,98,0.38,10,97,82,4
牡丹江,54,17,55,0.32,17,95,99,2
南昌,74,53,96,0.76,18,101,105,5
南充,28,19,21,0.63,12,67,50,4
南京,95,27,62,0.89,37,195,152,12
南宁,35,16,34,0.48,13,73,66,6
南平,39,18,26,0.73,5,79,77,4
南通,62,8,27,0.3,23,99,113,12
南阳,108,72,163,0.78,17,114,109,4
那曲地区,43,21,26,0.6,6,98,84,5
内江,32,8,28,0.4,10,76,63,3
宁波,52,11,20,0.51,29,93,101,6
宁德,55,37,57,0.65,21,67,57,6
怒江州,72,34,91,0.75,12,121,88,10
盘锦,96,32,129,0.67,15,184,154,14
攀枝花,71,22,46,0.68,17,131,123,13
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,116,73,179,0.63,17,125,110,14
平度,109,49,165,0.75,42,126,89,6
平凉,154,40,255,0.6,17,101,70,11
萍乡,42,25,41,1.68,17,57,37,13
普洱,112,0,172,0.9,11,157,144,0
莆田,58,38,63,0.54,13,93,105,5
濮阳,145,66,238,0.8,14,148,124,9
黔东南州,26,14,25,0.7,12,69,36,0
黔南州,34,10,33,0.5,4,83,36,22
黔西南州,54,10,27,0.35,7,121,103,7
青岛,62,29,72,0.36,17,99,102,4
庆阳,124,78,196,0.63,11,104,101,4
清远,74,35,63,0.53,18,178,107,7
秦皇岛,98,45,140,0.72,24,197,156,16
钦州,38,11,37,0.93,12,56,54,10
齐齐哈尔,40,7,25,1.96,11,83,78,5
七台河,71,19,90,0.37,11,103,104,5
泉州,76,22,49,0.33,20,79,129,12
曲靖,90,16,84,0.3,9,149,146,8
衢州,66,22,76,0.53,12,148,117,3
日喀则,81,12,38,0.4,5,157,135,2
日喀则地区,29,6,27,0.35,2,68,56,5
日照,49,26,42,0.15,7,99,96,4
荣成,69,33,41,0.6,8,115,121,4
乳山,57,21,56,0.7,8,98,107,3
三门峡,120,65,187,0.68,13,106,96,7
三明,38,23,35,0.68,8,77,74,2
三沙,30,7,20,0.3,30,51,58,6
三亚,34,13,22,0.45,2,68,67,3
上海,54,18,27,0.52,21,89,103,5
商洛,111,74,170,0.8,19,74,64,26
商丘,232,181,245,1.34,34,79,80,7
上饶,44,24,35,0.6,7,91,86,2
山南,65,7,39,0.5,5,129,116,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,38,12,32,0.55,8,63,75,7
汕尾,24,4,15,0.47,4,41,46,6
韶关,69,33,49,0.72,11,131,121,6
绍兴,65,24,77,0.56,18,111,106,7
邵阳,79,43,105,0.78,8,89,83,11
沈阳,89,36,103,0.61,19,154,145,16
深圳,31,18,30,0.52,21,51,51,4
石河子,49,15,48,0.35,8,110,84,6
石家庄,105,50,157,1.24,37,119,98,32
十堰,100,48,149,0.77,25,73,62,7
石嘴山,86,36,119,0.35,13,132,93,11
寿光,142,108,228,1.4,18,160,142,14
双鸭山,51,30,50,0.4,5,94,100,2
朔州,74,30,96,0.36,7,129,114,5
四平,102,28,152,0.47,17,154,127,7
松原,48,2,32,0.2,2,93,95,3
绥化,47,11,12,0.4,10,94,93,4
遂宁,29,8,15,0.57,10,68,57,9
随州,69,35,86,0.67,19,71,90,6
宿迁,73,48,93,0.9,25,127,101,8
苏州,50,14,33,0.22,33,95,98,3
宿州,95,57,138,0.75,5,141,120,5
塔城地区,40,9,11,0.5,8,93,78,3
泰安,144,57,235,0.3,18,155,142,13
太仓,71,10,24,0.3,28,91,123,4
太原,141,107,219,1.1,50,93,70,20
台州,56,18,27,0.47,18,123,106,3
泰州,87,21,42,0.4,18,140,143,7
唐山,126,62,200,0.9,35,209,159,23
天津,107,71,162,0.94,34,166,116,20
天水,36,11,21,0.33,7,93,70,5
铁岭,87,47,121,0.3,23,146,138,9
铜川,153,100,254,0.78,31,98,94,12
通化,49,13,48,0.4,9,95,88,3
通辽,56,10,28,0.25,11,125,106,4
铜陵,64,45,68,0.47,12,111,106,8
铜仁地区,107,45,162,0.4,17,63,62,4
吐鲁番地区,167,30,281,0.55,7,109,90,5
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,136,61,219,0.4,17,187,165,10
威海,82,23,82,0.4,17,137,137,3
渭南,192,97,332,0.83,77,22,50,13
文登,86,27,54,0.5,10,139,141,5
文山州,61,26,57,0.55,10,115,112,3
温州,39,21,38,0.57,32,78,57,6
乌海,62,23,72,0.83,15,136,99,16
武汉,100,71,149,1.21,70,21,31,5
芜湖,91,17,54,0.73,21,164,147,6
吴江,54,15,38,0.57,22,99,103,5
五家渠,42,13,36,0.5,10,102,83,5
乌兰察布,80,17,68,0.35,9,147,134,17
乌鲁木齐,39,15,32,0.51,11,98,77,5
武威,68,30,79,0.15,8,127,120,2
无锡,75,28,58,0.63,42,98,128,6
吴忠,106,48,160,0.4,11,134,93,7
梧州,31,9,30,0.53,13,68,58,10
厦门,48,17,34,0.35,11,70,94,4
西安,183,105,314,0.82,61,42,21,9
湘潭,68,35,83,1.04,18,82,57,11
湘西州,91,38,129,0.53,6,44,42,4
襄阳,83,56,113,0.63,15,83,63,5
咸宁,56,39,44,0.8,24,53,68,4
咸阳,150,106,249,1.02,44,45,34,11
孝感,99,55,145,0.65,27,53,65,5
锡林郭勒盟,50,7,42,0.3,5,103,99,6
兴安盟,42,12,32,0.1,8,91,83,14
邢台,130,76,208,0.7,24,145,102,24
西宁,59,25,58,1.1,15,136,109,10
新乡,138,46,224,0.63,22,161,104,14
信阳,77,53,101,0.65,9,86,103,4
新余,49,33,48,0.7,9,71,64,8
忻州,99,53,146,0.8,59,90,76,51
西双版纳州,74,42,96,0.3,6,131,116,11
宣城,56,17,55,0.4,24,108,106,7
许昌,115,50,178,0.9,16,125,117,8
徐州,91,67,118,0.67,13,145,140,7
雅安,72,52,85,0.48,18,125,99,8
延安,135,102,215,0.43,12,137,119,4
延边州,55,13,45,0.5,10,95,104,5
盐城,63,20,41,0.54,13,103,114,6
阳江,23,14,16,0.5,3,44,44,5
阳泉,100,56,149,0.93,36,113,110,16
扬州,67,25,76,0.52,28,111,119,9
烟台,93,28,134,0.18,15,152,144,5
宜宾,58,33,63,0.5,14,101,82,8
宜昌,90,62,128,0.53,30,54,39,7
宜春,55,38,57,0.74,17,61,61,11
伊春,45,15,43,0.6,9,89,88,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,82,30,111,0.4,9,116,106,5
银川,73,32,93,0.51,16,128,91,19
营口,100,45,147,0.53,21,183,155,8
鹰潭,47,28,40,0.74,8,100,92,16
义乌,61,16,22,0.45,23,116,112,5
宜兴,55,35,46,0.7,16,115,104,7
益阳,110,62,168,0.78,11,71,60,4
永州,54,22,56,0.68,23,102,79,9
岳阳,67,36,81,0.72,17,65,51,6
玉林,41,19,40,0.45,14,59,64,8
榆林,87,50,121,0.86,39,74,50,17
运城,94,52,136,0.76,10,123,121,6
云浮,38,12,32,0.5,6,72,74,5
玉树州,63,6,14,0.3,2,118,114,8
玉溪,85,30,50,0.43,9,145,140,6
枣庄,99,49,126,0.64,21,174,157,10
张家港,61,7,39,0.5,15,95,112,6
张家界,49,20,48,0.8,17,53,59,3
张家口,66,15,67,0.8,7,145,117,6
章丘,145,65,237,0.5,15,156,134,14
张掖,62,29,71,0.15,3,129,113,4
漳州,54,27,56,0.5,19,80,92,10
湛江,28,12,27,0.53,8,39,47,4
肇庆,42,22,41,0.57,12,93,75,6
昭通,74,14,87,0.4,10,144,127,3
招远,0,0,0,0.0,0,0,0,0
郑州,136,77,219,0.57,24,138,119,8
镇江,101,26,51,0.98,30,167,160,11
中山,32,12,25,0.48,5,69,63,3
中卫,80,39,108,0.35,6,128,107,7
周口,156,84,260,0.93,13,134,131,8
舟山,50,15,20,0.45,16,99,98,5
珠海,27,15,21,0.45,15,58,52,3
诸暨,76,34,51,0.5,14,133,130,3
驻马店,89,50,126,0.43,11,102,122,4
株洲,55,28,57,0.94,15,71,53,7
淄博,134,65,216,0.72,26,195,178,17
自贡,53,36,53,0.48,11,89,69,5
资阳,43,13,42,0.4,12,95,80,6
遵义,30,11,29,0.6,18,51,46,6
